floor,price,size,exterior,rooms,bathrooms,latitude,longitude,distance,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,codbar_1,codbar_2,codbar_3,codbar_4,codbar_5,coddistrit_1,coddistrit_2,coddistrit_3
4.0,3150000,705.0,1,6,5,40.436388,-3.6926342,1523,0,1,4468,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.0,1650000,583.0,0,5,6,40.4578984,-3.7709045,5524,0,0,2830,0,0,1,1,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
5.0,239000,80.0,1,2,1,40.3966085,-3.7348875,5264,0,1,2988,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,-2.0,-1.0,-1.0,0.0,-3.0,-1.0
2.0,1150000,205.0,1,3,3,40.4265831,-3.701109,1670,0,1,5610,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
0.0,2200000,656.0,0,4,4,40.4547233,-3.6435938,5852,0,0,3354,0,0,1,1,1,0,0,0,0,0,0,1,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
2.0,320000,50.0,0,1,1,40.4294053,-3.6753643,3159,0,0,6400,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
9.0,362000,59.0,1,1,1,40.4019695,-3.7200203,4312,1,1,6136,0,0,1,1,0,0,1,0,0,0,1,0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,180000,63.0,1,3,1,40.471663,-3.6561619,5756,0,0,2857,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0
2.0,685000,121.0,1,3,3,40.4334563,-3.7171897,948,0,1,5661,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
2.0,143000,53.0,0,2,1,40.4721799,-3.5889453,10848,0,0,2698,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,-2.0,-1.0,-1.0,1.0,-2.0,-1.0
6.0,775000,197.0,1,5,3,40.4526884,-3.7004454,1626,0,1,3934,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
2.0,520000,91.0,1,2,2,40.4349704,-3.7176814,857,0,1,5714,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
3.0,433000,84.0,0,3,2,40.4375242,-3.6828751,2311,0,0,5155,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
6.0,789000,180.0,1,3,2,40.4646827,-3.5847582,10946,0,1,4383,0,0,1,1,0,0,0,1,0,1,0,0,0.0,1.0,-2.0,-1.0,-1.0,1.0,-2.0,-1.0
5.0,670000,82.0,0,2,2,40.4268574,-3.670863,3620,0,1,8171,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
3.0,560000,95.0,1,2,1,40.4427031,-3.7002907,874,0,1,5895,0,0,1,1,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
1.0,720000,141.0,1,3,2,40.4320821,-3.6727694,3271,0,1,5106,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
1.0,2300000,330.0,1,5,5,40.429933,-3.6903378,2005,0,1,6970,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
12.0,2400000,283.0,1,4,3,40.4216504,-3.6804548,3227,0,1,8481,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
0.0,790000,110.0,1,2,1,40.4255491,-3.6849081,2662,0,1,7182,0,0,1,1,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
3.0,690000,101.0,1,2,2,40.414222,-3.708318,2869,0,1,6832,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
0.0,199995,53.0,1,2,2,40.4547194,-3.7038116,1718,0,0,3773,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
-1.0,396000,81.0,1,1,1,40.4205902,-3.6873553,2886,0,1,4889,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
7.0,518900,125.0,1,2,2,40.493922,-3.6208875,9631,1,1,4151,0,0,1,1,0,0,1,0,0,0,1,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
3.0,661300,171.0,1,4,3,40.493922,-3.6208875,9631,1,1,3867,0,0,1,1,0,0,1,0,0,0,1,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,109900,38.0,1,0,1,40.4426994,-3.609685,8494,0,0,2892,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,-2.0,1.0,-2.0,-1.0
4.0,1060000,234.0,1,4,3,40.4434997,-3.7124637,441,0,1,4530,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
6.0,1200000,178.0,1,3,2,40.4372965,-3.6948981,1312,0,1,6742,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
1.0,499400,114.0,1,2,2,40.4922269,-3.612258,10103,1,1,4381,0,0,1,1,0,0,1,0,0,0,1,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
4.0,525000,86.0,1,2,2,40.4127102,-3.7088152,3035,0,0,6105,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
0.0,363000,77.0,1,1,2,40.4368776,-3.6741024,3057,0,1,4714,0,0,1,1,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
1.0,255000,53.0,1,1,1,40.4689247,-3.6840391,3894,0,1,4811,0,0,0,0,0,0,1,0,0,0,0,1,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
