price,exterior,distance,size,rooms,priceByArea,propertyType_flat,latitude,coddistrit_1,bathrooms,coddistrit_2,propertyType_chalet,codbar_3,codbar_5,hasParkingSpace
275000,0,2447.04874736257,93.0,3.0,2957,1,40.3956673,1.0,1.0,-1.0,0,0.0,-1.0,0
1760000,1,6435.075439350881,394.0,6.0,4467,0,40.4512949,0.0,5.0,-2.0,1,-1.0,-1.0,0
